205	T	80	90	87.12	00	05
314	P	1000	1024	1027.42	00	12
503	T	115	138	122.57	00	34
404	N	25.00	25.25	25.17	00	40
607	P	11	13	11.74	00	48
102	T	297	356	308.26	00	57
612	C	1395	1604	1603.13	01	17
111	T	29	35	33.28	01	33
205	T	80	90	90.71	02	01
101	T	61	73	62.27	02	31
501	T	-17	-12	-15.42	02	44
207	N	26.00	26.26	26.12	03	10
301	P	28	32	33.48	03	21
107	T	211	253	252.20	03	42
104	N	15.00	15.15	14.95	03	48
403	P	33	38	34.99	03	55
615	N	23.00	23.23	23.10	04	05
201	T	175	210	179.87	04	26
605	P	18	21	20.40	04	47
103	P	41	47	41.10	05	21
307	T	220	264	222.14	05	36
206	C	673	774	715.91	05	44
609	T	321	385	387.12	05	47
106	C	1711	1968	1888.93	06	04
202	P	93	107	93.27	06	18
613	T	477	572	572.16	06	43
109	N	20.00	20.20	20.18	06	42
203	T	172	206	178.35	06	51
615	N	23.00	23.23	23.13	06	55
302	N	22.00	22.22	22.02	07	02
611	P	44	51	43.89	07	14
201	T	175	210	205.59	07	28
110	C	841	967	951.44	07	53
606	T	274	329	316.18	08	09
103	P	41	47	41.71	08	11
105	C	853	981	947.58	08	28
401	T	449	539	523.81	08	46
314	P	1000	1024	1017.62	09	05
108	N	14.00	14.14	14.11	09	21
111	T	29	35	35.48	09	33
607	P	11	13	11.85	09	49
102	T	297	356	322.00	09	52
305	T	300	360	337.86	09	55
402	N	4.00	4.04	3.98	09	59
204	C	1396	1605	1511.51	10	14
605	P	18	21	19.08	10	32
310	T	593	712	689.12	10	51
105	C	853	981	922.04	11	25
205	T	80	90	79.45	11	38
612	C	1395	1604	1406.37	11	43
208	T	65	78	76.80	11	49
502	T	379	455	430.85	11	51
202	P	93	107	97.43	12	10
108	N	14.00	14.14	14.12	12	17
603	N	1.00	1.01	1.00	12	22
304	N	19.00	19.19	19.13	12	29
503	T	115	138	131.68	12	40
101	T	61	73	69.46	12	48
608	N	3.00	3.03	3.02	12	51
107	T	211	253	234.70	13	04
203	T	172	206	200.67	13	15
609	T	321	385	335.94	13	37
110	C	841	967	915.14	13	45
204	C	1396	1605	1576.88	14	22
403	P	33	38	31.94	14	27
111	T	29	35	33.59	14	35
608	N	3.00	3.03	3.04	14	48
202	P	93	107	97.85	14	54
314	P	1000	1024	1022.12	14	56
505	P	67	77	74.21	15	02
401	T	449	539	491.44	15	18
106	C	1711	1968	1899.95	15	27
109	N	20.00	20.20	20.18	15	43
601	C	790	909	848.49	15	49
302	N	22.00	22.22	22.03	16	04
305	T	300	360	313.05	16	23
602	C	1863	2142	2069.80	16	38
309	T	336	403	351.44	16	51
311	P	98	113	98.62	17	06
206	C	673	774	717.30	17	28
402	N	4.00	4.04	4.03	17	52
301	P	28	32	27.77	17	58
610	N	4.00	4.04	3.97	18	25
501	T	-17	-12	-17.20	18	33
303	N	1.00	1.01	1.01	18	42
404	N	25.00	25.25	25.12	18	47
313	C	1357	1561	1385.81	18	51
611	P	44	51	46.29	18	58
402	N	4.00	4.04	4.01	19	06
306	P	90	104	102.50	19	13
311	P	98	113	109.77	19	45
613	T	477	572	556.10	19	50
614	P	48	55	50.43	20	03
312	N	14.00	14.14	14.00	20	30
502	T	379	455	421.29	20	46
405	N	33.00	33.33	33.25	20	53
602	C	1863	2142	1961.03	21	02
507	N	23.00	23.23	23.11	21	34
604	N	28.00	28.28	28.05	21	40
610	N	4.00	4.04	4.01	22	10
504	P	49	56	52.93	22	24
405	N	33.00	33.33	33.12	22	48
313	C	1357	1561	1430.49	23	01
308	T	571	685	574.23	23	20
506	T	323	388	366.70	23	35
507	N	23.00	23.23	23.22	23	47
605	P	18	21	18.38	23	55

